"Chao1"	"ACE"	"InvSimpson"	"ENSpie"	"FaithsPD"	"Observed.ASVs"
"SB091817TAWCSCB44D31BR1TR1I499"	480.964912280702	475.947776860004	98.0778763953172	98.0778763953172	48.950859	387
"SB091817TAWCSCB44D5BR1TR1I489"	358.027027027027	344.670868606253	44.9924363156764	44.9924363156764	38.539166	281
"SB091817TAWCSCB43CD27BR1TR1I498"	464.75	477.097997476097	65.115075663912	65.115075663912	49.589015	383
"SB091817TAWCSCB42CD26BR1TR1I497"	561.846153846154	555.72247386065	74.4660702325928	74.4660702325928	50.90495	410
"SB091817TAWCSCB33CD24BR1TR1I495"	389	389.206457050965	71.8474100311929	71.8474100311929	49.728361	339
"SB091817TAWCSCB33CD5BR1TR1I490"	351.5	346.281834833401	26.6521489513449	26.6521489513449	39.039183	280
"SB091817TAWCSCB32D10BR1TR1I494"	395.25	402.713511708305	71.5062764496177	71.5062764496177	48.022026	333
"SB091817TAWCSCB31D13BR1TR1I493"	354	342.35473379623	61.1027878228657	61.1027878228657	41.606293	287
"SB091817TAWCSCB72D20BR1TR1I521"	370.122448979592	368.526137799432	89.2275172639276	89.2275172639276	43.506195	334
"SB091817TAWCSCB51D33BR1TR1I500"	449.196721311475	447.219575086466	83.1417822952152	83.1417822952152	48.845171	376
"SB091817TAWCSCB73D12BR1TR1I522"	470.618421052632	485.098652228519	79.8708816304088	79.8708816304088	46.763144	396
